full_name,favourite_color,company_name,email,phone_number,salary
Michael Olson,olive,"Scott, Young and King",zacharymcdonald@yahoo.com,114-116-1124x315,2151
Diana Harris,lime,Martin-Barnes,timothy81@gmail.com,1-860-251-9980x6941,5354
Marilyn Maldonado,black,Walker PLC,gmcintosh@yahoo.com,+49(1)7897611670,7158
Marissa Carter,olive,"Hart, Ray and Wagner",eileen88@hotmail.com,659-155-8389x092,8587
Amanda Hughes,maroon,"Franco, Harvey and Payne",wilkinsonjason@hotmail.com,1-366-403-5794x0781,3779
Patricia King,white,Gonzalez-Fuentes,kimberlyrasmussen@hotmail.com,1-512-204-5161,1039
Julie Byrd,lime,Johnson-Reynolds,crystal69@hotmail.com,(664)760-9409,1995
Frank Mcdonald,maroon,"Gonzales, Jones and Clark",operkins@hotmail.com,(084)057-7479x38393,5694
Kathryn Baldwin,silver,"Khan, Baker and Willis",okeller@yahoo.com,+40(4)4728867268,5999
Karen Russell,purple,Ho and Sons,morrisjennifer@hotmail.com,088.899.8659x085,19
Gary Sanchez,gray,Long Inc,pday@hotmail.com,1-065-006-6410,9190
Karen Lucas,black,"Wilson, Smith and Vance",catherine64@gmail.com,(448)095-7360x318,5985
Courtney Lowery DVM,lime,Rogers PLC,sharris@yahoo.com,(826)821-7107x2319,169
Amber Campbell,black,Lawson-Freeman,josephmontoya@hotmail.com,655.136.4662x617,2727
Shane Lloyd,aqua,Garcia-Booth,djones@hotmail.com,00570628159,9535
Teresa Nelson,silver,Smith-Kelly,taylorapril@gmail.com,753-792-5034x06814,2485
Nicole Wilson,aqua,"Small, Archer and Dawson",briannewman@hotmail.com,(683)980-9720,5093
Lori Mcfarland,green,"Hobbs, Gardner and Gould",lopezdestiny@yahoo.com,255.439.6527x14306,4350
Alan Pope,blue,"Reyes, Case and Benson",jennifer75@yahoo.com,+10(7)1216562311,8577
Brandon Werner,olive,Ferguson-Santiago,kaitlynmalone@gmail.com,(053)959-0484x5147,7128
Mary Powell,gray,Wright-Hoover,dglover@yahoo.com,02870375047,4550
Keith Blanchard,teal,"Dodson, Anderson and Beck",zjames@yahoo.com,1-320-750-1376,9535
Jessica Richards,green,"Mendoza, Rhodes and Mills",kathleenmorrison@gmail.com,1-487-266-7539x3329,5943
Amy Powers,aqua,Boyd-Miller,pwhite@gmail.com,805-216-3085x92449,2353
Kevin Flores,fuchsia,Martinez Ltd,richardmorales@gmail.com,09656812427,2401
James Ingram,black,Garcia-Williams,joseph45@yahoo.com,(659)387-0903x98320,496
Mary Ramsey,silver,Thomas-Roberts,wardtiffany@yahoo.com,09844054730,5056
Angela Smith,olive,"Bowman, Miller and Brown",hortiz@hotmail.com,654-892-0237x2715,2290
Joel Smith,silver,Greene LLC,thompsonbrittney@hotmail.com,991-319-8841x3571,3350
Julie Meyer,navy,Reed Group,brewermorgan@yahoo.com,+23(1)7538141381,721
Candice Preston,green,Hester-Le,yangstephen@yahoo.com,02634543869,8639
Christy Hudson,silver,"Short, Page and Evans",ferrelltyrone@yahoo.com,086.522.0840x4284,7169
Sheri Donovan,lime,Gay Inc,madison44@yahoo.com,1-008-754-4798,7412
Juan Ramirez MD,lime,Bowman-Ballard,econtreras@hotmail.com,1-338-946-7730,2642
Geoffrey Delgado,aqua,Freeman-Reese,franklinamanda@gmail.com,(699)833-2729,8784
Kyle Howard,fuchsia,"Hernandez, Rollins and Williams",atkinstammy@gmail.com,02544731286,5778
William Brown,silver,Waters-Harvey,beverlygray@yahoo.com,1-479-900-7940x7837,5130
Laurie Molina,olive,Kirk-Wong,calvin18@gmail.com,527-087-8542,6022
Alexander Simmons,purple,Brooks Group,breannapalmer@gmail.com,945-036-2056x9222,6423
Sylvia Riley,teal,"Watson, Rose and Christensen",holmesstephanie@gmail.com,961.488.8620,1122
Deborah Lopez,blue,Henson-Pearson,mclaughlintony@gmail.com,(783)023-6489,5067
Wendy Miller,aqua,Petersen-Smith,christina16@yahoo.com,(977)743-2752x1169,3860
Lacey Miller,olive,Mccoy Ltd,lanesabrina@yahoo.com,846-315-7933x7198,4186
Daniel Gonzalez,fuchsia,Sanchez-Poole,walshmonica@gmail.com,(986)991-4882x049,5906
Sara Sparks,yellow,Black LLC,sgordon@hotmail.com,268-187-8453x47967,7649
David Jones,white,Hayes-Pineda,zmaldonado@hotmail.com,1-391-125-4761,9729
Valerie Gibson,blue,Johnson and Sons,danielsmith@yahoo.com,787.848.7154x498,5004
Jason Glass,olive,Diaz-Cardenas,ihayden@gmail.com,017-552-3858x7080,9657
Anthony Stone,aqua,Kim-Franklin,smithjose@yahoo.com,336-752-4513,4881
Eric Tran,fuchsia,Barry-Briggs,harrisvictoria@gmail.com,(867)299-2717x38504,4154
Andrea Flores,silver,"Noble, Bond and Mccormick",vbean@hotmail.com,(950)082-1594x8853,7681
Michael Mooney,purple,"Anderson, Krause and Yoder",rhondamann@gmail.com,471.628.4219x12661,4554
Erik Smith,purple,Chavez PLC,youngbrianna@yahoo.com,251.813.5090x12054,7385
David Frye,silver,Willis Inc,stricklandjessica@gmail.com,422.395.8104,5090
Sue Garcia,olive,Moreno-Harris,millereric@hotmail.com,(251)681-2218x248,5813
Cassandra Vargas,blue,Washington-Cameron,woodsandrew@gmail.com,03241565852,3164
Nancy Bennett,lime,"Rogers, Mullen and Castillo",walkermegan@yahoo.com,985-252-8112,8484
Arthur Fritz,yellow,Jarvis Ltd,carllewis@hotmail.com,151.424.0293x0291,9452
David Lopez,purple,Singh Ltd,hcrosby@yahoo.com,853.603.6658x134,7266
William Velasquez,purple,"Williams, May and Gray",kingalyssa@yahoo.com,468-745-9470,1050
Karl Anderson,maroon,Greer-Brown,zanderson@hotmail.com,530.581.9790x927,8157
Danielle Hamilton,white,Parsons-Sexton,erincarlson@yahoo.com,012-195-0396,6927
Sean Cole,black,Ritter-Costa,sandersderrick@gmail.com,04993108145,7484
Sandra Shah,olive,"Rose, Stewart and Patterson",awilliams@hotmail.com,+13(6)9739568141,3182
